From,To,Distance(km)
Ashok Nagar,Anand Vihar,5.67
Tagore Garden,Mayur Vihar,13.4
Race Course,Arjangarh,9.29
Safdarjung,Mukherjee Nagar,13.2
Shalimar Bagh,Netaji Subhash Place,10.61
Mukherjee Nagar,Andheria Mod,9.53
Najafgarh,Barakhamba,2.82
Mandawali,Ashram,8.52
Sangam Vihar,Babarpur,10.67
Adarsh Nagar,Sangam Vihar,11.5
Rohini,Safdarjung,12.5
Greater Kailash,Babarpur,1.87
Mandi House,Batla House,14.11
Ashram,Greater Kailash,9.11
East of Kailash,Malviya Nagar,11.49
Rajiv Chowk,Karol Bagh,5.28
Yamuna Vihar,Tigri,4.44
Tagore Garden,Netaji Subhash Place,5.69
Neb Sarai,Krishna Nagar,11.02
Saket,Shadipur,8.91
Patel Chowk,Hazrat Nizamuddin,1.75
Shalimar Bagh,Chandni Chowk,12.38
Anand Vihar,Civil Lines,9.79
Patel Chowk,Welcome,6.95
Mayur Vihar,Nauroji Nagar,5.25
ISBT,Ali Vihar,10.04
Chandni Chowk,Shahdara,9.64
Shahdara,Azadpur,6.27
Kapasheda,INA,5.79
Samaypur,Shadipur,14.59
Seelampur,Pragati Maidan,7.91
East of Kailash,Krishna Nagar,13.73
Surajmal Vihar,Jamia Nagar,1.63
AIIMS,Mustafabad,1.11
Ambedkar Nagar,Kashmiri Gate,1.77
Seelampur,Surajmal Vihar,1.41
Janakpuri,South Extension,2.97
Palam Colony,Ashram,6.13
Ashram,Shalimar Bagh,14.13
Sarita Vihar,Mandawali,9.54
Kirti Nagar,Okhla,9.49
